epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.30498433045274975;0.8986008;0.4794967653862079;0.8485175414645554;0.4797029702970297;0.906809;0.66502464;0.9871851;0.20049505;0.8783364;0.4814219608797869;0.815070602027174;0.31463454894994375;0.4645308924485126;0.8881323;0.6594203;0.9831299;0.2087156
1;0.2790787671625438;0.9001617;0.5057539859923357;0.8603187143577729;0.49386954389406573;0.91873145;0.6071094;0.9736164;0.32128713;0.8777157;0.49191970146273134;0.8271707488951968;0.30598992641615175;0.47547974413646055;0.89973265;0.59130436;0.9662599;0.3119266
2;0.26739934229599993;0.90350634;0.5324215128122989;0.8704937091799513;0.5197823936696341;0.9194159;0.6409756;0.976883;0.32524753;0.8808194;0.508215170922454;0.8373807108939192;0.29956004195595143;0.49318181818181817;0.9011356;0.61403507;0.9684135;0.32110092
3;0.26246594327008077;0.9065723;0.5507750631684251;0.8788680970930186;0.5346534653465347;0.92549443;0.64309484;0.9730511;0.38267326;0.88019866;0.5149566488165547;0.842410776029558;0.2973003360072254;0.49770642201834864;0.9065041;0.5925926;0.96051687;0.36697248
4;0.2582362079850121;0.9057361;0.5683738622128901;0.885213167651334;0.5428005937654626;0.9123102;0.740146;0.9888184;0.2509901;0.8833023;0.5211322247296968;0.8401361328266498;0.29623397259350376;0.4908256880733945;0.89250815;0.69736844;0.98348886;0.24311927
5;0.25299824315784;0.90791017;0.5822026245040876;0.88995737393326;0.5557749259624877;0.91572934;0.7358974;0.9870595;0.2841584;0.8820608;0.5225502035071237;0.8459688679307416;0.2917233363561642;0.5;0.8944262;0.6627907;0.97918165;0.2614679
6;0.24953227539070874;0.909025;0.5850459184505773;0.8918896965392247;0.5517070757050965;0.92181873;0.6932271;0.98065203;0.34455445;0.8820608;0.5174851486680728;0.8466513432167391;0.292424352267268;0.4977168949771689;0.9026104;0.6196581;0.96805453;0.3325688
7;0.2463379892495635;0.91053015;0.5993951521346284;0.8968185473613635;0.5672601384767557;0.9212478;0.71865124;0.9832276;0.33762378;0.87895715;0.5246237269425043;0.8482468041386486;0.29118699479147486;0.4954337899543379;0.8980066;0.6084906;0.97020817;0.29587156
8;0.24399531926049975;0.9120352;0.6040357918474437;0.8996916319560846;0.5698019801980198;0.9230633;0.7232323;0.98278785;0.35445544;0.880509;0.5190854896187517;0.8506902138477447;0.2899255637266782;0.4977168949771689;0.8992351;0.61860466;0.9705671;0.30504587
9;0.24002872997742977;0.9138748;0.6146446237873651;0.9015855173996575;0.5751730959446093;0.92556846;0.7259753;0.98190844;0.37772277;0.88019866;0.520126049838194;0.8513339963250064;0.29005731312496774;0.5;0.903497;0.6008065;0.9644652;0.3417431
10;0.23884648875883108;0.9113663;0.6193766356415464;0.9026925916412233;0.5861386138613861;0.9181696;0.7667494;0.98819023;0.3059406;0.88112974;0.5192322670240411;0.8522280471821756;0.2953329655109985;0.482837528604119;0.8966656;0.6373057;0.9748744;0.2821101
11;0.23932581282865525;0.9157144;0.6259563368120953;0.9055198843899717;0.5841584158415841;0.92998266;0.7141653;0.9787047;0.41930693;0.880509;0.5158186364275525;0.8494956762844367;0.29418689901417344;0.4954128440366973;0.9057114;0.59695816;0.9619526;0.36009175
12;0.236495396230218;0.9158816;0.6341148897659464;0.9081491759955568;0.593069306930693;0.92841005;0.7279215;0.9808405;0.4039604;0.8795779;0.5183673172867033;0.8495961129368994;0.29220608813303145;0.49311926605504586;0.9042481;0.59375;0.9626705;0.34862384
13;0.23360765167442485;0.91643906;0.6414479044828563;0.91057550632254;0.594059405940594;0.9289114;0.7307352;0.9809033;0.40841585;0.8786468;0.5252667252112603;0.8500958264454646;0.2907471527998156;0.5080091533180778;0.90333444;0.5889328;0.9626705;0.3417431
14;0.23289538781579716;0.91755396;0.6446383073316402;0.9126999369953955;0.6046511627906976;0.92899585;0.7439134;0.9821597;0.40841585;0.88392305;0.5221031829496708;0.8469263091341372;0.2928225225927961;0.4931506849315068;0.9055145;0.625;0.96661884;0.35550457
0;0.29803095939667557;0.89625955;0.48094669015624886;0.8560756372452373;0.4829292429490351;0.8992389;0.7387387;0.99453485;0.121782176;0.87523276;0.4844910825944691;0.8234422439853265;0.31566799861684786;0.4864864864864865;0.87913483;0.71794873;0.9921034;0.12844037
1;0.274919408380128;0.89965993;0.5056044950437606;0.8602326350167525;0.49554455445544554;0.90319264;0.75581396;0.9934041;0.16089109;0.8795779;0.5068092184258397;0.8260642992156063;0.312413063489969;0.4908256880733945;0.88380283;0.74489796;0.9910266;0.16743119
2;0.2680500188676388;0.902057;0.5237071560442638;0.8671070873027374;0.5034653465346535;0.91235733;0.6714472;0.98416984;0.2549505;0.8820608;0.5130586856427798;0.8321621212221;0.2996650105359612;0.48337028824833705;0.89390963;0.6666667;0.9798995;0.25688073
3;0.26112391949414315;0.9047327;0.5360384730804484;0.8735038116852706;0.5111001480019733;0.9115977;0.72968984;0.9885043;0.24455446;0.8814401;0.5082914654084101;0.8362849634805746;0.3001534881557018;0.49311926605504586;0.89204174;0.6730769;0.98169416;0.24082568
4;0.2582601672031687;0.9057361;0.5509154141248417;0.8809152647157422;0.5267326732673268;0.91548884;0.7013464;0.9846724;0.28366336;0.8823712;0.525250126294071;0.8486707785322418;0.29985571022288243;0.5137614678899083;0.8962792;0.65405405;0.977028;0.27752292
5;0.25348000959175754;0.9061263;0.5640074337425823;0.888814350371528;0.5366336633663367;0.91830736;0.6818182;0.9815315;0.31188118;0.8833023;0.536530624248357;0.8535633607091816;0.28714100994322334;0.518348623853211;0.9005984;0.6401869;0.9723618;0.3142202
6;0.2504596118689866;0.90595907;0.5702964015309162;0.890347141065008;0.5410891089108911;0.9122827;0.74521357;0.98913246;0.25049505;0.88112974;0.5234042238314318;0.8491787245533039;0.28990242787024606;0.5113122171945701;0.8938053;0.65497077;0.9788227;0.25688073
7;0.2495932311323835;0.90506715;0.5681289073202924;0.8930798336131119;0.5420792079207921;0.91421914;0.703466;0.985489;0.27128714;0.88112974;0.5253567121583488;0.849410881405718;0.2904827924367806;0.518348623853211;0.8948406;0.6480447;0.97738695;0.26605505
8;0.24654980007031801;0.909025;0.5837978893881649;0.8939136650331909;0.5491843796342066;0.925183;0.6704745;0.97644323;0.37772277;0.8829919;0.5337099747288724;0.8542705335326699;0.29131086268719497;0.518348623853211;0.9073385;0.61132073;0.96302944;0.37155962
9;0.2453605247290479;0.9076314;0.5792148818093993;0.8945806555339872;0.5489424495818986;0.92235255;0.6720379;0.978265;0.3509901;0.877095;0.5238677823972072;0.8489416281933916;0.291015483101357;0.5114678899082569;0.9018157;0.58064514;0.9626705;0.33027524
10;0.24533811702047598;0.9090808;0.5955313165958819;0.8993422767114955;0.558910891089109;0.91501105;0.76827586;0.9894466;0.27574256;0.8823712;0.5373424503728544;0.8543281611201484;0.28643945182316943;0.5229357798165137;0.8947196;0.6647399;0.97918165;0.26376146
11;0.24214378157338276;0.9103629;0.5977525400535886;0.8990437667424006;0.5529295913343181;0.92034304;0.7248908;0.98416984;0.32871288;0.88175046;0.5321938743727266;0.8517415056936056;0.2884898299777974;0.5206422018348624;0.8996344;0.62910795;0.9716439;0.30733946
12;0.23839544248228567;0.9103629;0.5900698921274122;0.9001388526942399;0.5584158415841585;0.9212339;0.71638656;0.98303914;0.33762378;0.8829919;0.542132104266066;0.8499632829942636;0.2879461425753723;0.518348623853211;0.9005653;0.6372093;0.97200286;0.3142202
13;0.2399541544913581;0.90991694;0.6037424861687607;0.8998105197164605;0.5618199802176064;0.9185836;0.73653394;0.98586595;0.31138614;0.8829919;0.5350315074739018;0.8479100943775233;0.2892965779707419;0.5170068027210885;0.89923763;0.6439024;0.97379756;0.3027523
