epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.30779978804789937;0.8952004;0.4622789560838492;0.8471417025175096;0.4725925925925926;0.9000399;0.6785714;0.9920849;0.13168317;0.8724395;0.45307928016222526;0.8198578080441525;0.31279492129419695;0.4611973392461197;0.87806433;0.654321;0.98994976;0.121559635
1;0.2768555620012491;0.89765316;0.4826908097236874;0.8507972445903426;0.49040826364977863;0.9021646;0.7139535;0.9922734;0.15198019;0.8767846;0.4729059012018965;0.823259482207894;0.3187312457333582;0.4897025171624714;0.8815075;0.71428573;0.99066764;0.14908257
2;0.26970694891589697;0.89865655;0.4966442649117687;0.8616978341467542;0.4972812654473554;0.91825354;0.59334564;0.9723601;0.31782177;0.8743017;0.4791645057578362;0.8336752570190402;0.30304420183971753;0.4863013698630137;0.9009768;0.5612648;0.96015793;0.32568806
