epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.28136069164410227;0.8991025;0.4932552554986785;0.8538393003192524;0.4903513112320633;0.9054077;0.6951673;0.9896979;0.18514852;0.8795779;0.4940295156507789;0.8270093916502566;0.30524345293576344;0.49311926605504586;0.88627577;0.7033898;0.9874372;0.19036697
1;0.26637550742530564;0.9038408;0.5211930742758816;0.8636516299409324;0.5039447731755424;0.9145444;0.6800977;0.98354167;0.27574256;0.877095;0.5045650863792643;0.8322979576782998;0.3041393485250938;0.49770642201834864;0.8930921;0.6098901;0.97451544;0.25458714
2;0.2613412754848372;0.90568036;0.5484234908293015;0.8709963155056633;0.5148221343873518;0.91475713;0.70812184;0.98555183;0.27623764;0.88485414;0.5382786199126043;0.8421267543484131;0.2951034561752311;0.5114678899082569;0.89917356;0.66497463;0.97631013;0.30045873
3;0.25657209338298115;0.90540165;0.5542988256685403;0.8769865109194503;0.5212871287128713;0.9256045;0.6311942;0.9714806;0.38465348;0.8808194;0.5396277881657471;0.847643360972622;0.29268336071546663;0.518348623853211;0.9093388;0.5902778;0.95764536;0.38990825
4;0.25289912884270493;0.9085233;0.5782713174245346;0.882948018402569;0.5386138613861386;0.9121349;0.8071313;0.9925247;0.24653466;0.88640594;0.5480871822372807;0.8476837002838571;0.2924893075458053;0.5114678899082569;0.893368;0.739726;0.9863604;0.24770643
5;0.24738676302554266;0.9079659;0.5896778689534157;0.891239872149788;0.5452755905511811;0.9199435;0.6940063;0.98172;0.32673267;0.88640594;0.5517887720072553;0.8536588578541462;0.28480978437926574;0.5091743119266054;0.9025283;0.662037;0.97379756;0.32798165
6;0.24592383322115186;0.91019565;0.5999978103206594;0.892646964614798;0.5526966848095003;0.91870534;0.7397421;0.9860544;0.31237623;0.8836127;0.5479804433908468;0.8471395312078084;0.2880788257670451;0.5159090909090909;0.8995691;0.64878047;0.9741565;0.30504587
7;0.24275064681089165;0.9110876;0.6101480717237858;0.9000294342833366;0.5633663366336633;0.9180969;0.76267;0.98793894;0.30544555;0.88640594;0.5467794253807282;0.8528067928107116;0.28608905847058913;0.5280898876404494;0.8990765;0.68421054;0.97846377;0.29816514
8;0.24164369839359987;0.911868;0.6150740044616295;0.9011162326107602;0.5638613861386138;0.9176279;0.7839586;0.9895094;0.3;0.88485414;0.5430322745824533;0.848924339917148;0.2892905609539989;0.5203619909502263;0.8975963;0.6756757;0.97846377;0.28669724
9;0.2384647197301959;0.9120352;0.614048021779637;0.9018302433296285;0.557920792079208;0.91861755;0.7728395;0.98844147;0.309901;0.8845438;0.5471475725035191;0.8538630241640707;0.28774036949559406;0.5160550458715596;0.8980871;0.66842103;0.97738695;0.2912844
