epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.30144321842233207;0.89754164;0.4740179686230461;0.8525887086792729;0.47550717466600695;0.90595627;0.65268457;0.98699665;0.19257426;0.8733706;0.4738652983388323;0.8225358443594117;0.308774509345205;0.4793577981651376;0.88478965;0.6060606;0.9813352;0.18348624
1;0.2739160107285161;0.9004404;0.5017679354619221;0.8597398245698054;0.49777777777777776;0.90962845;0.67005813;0.9857403;0.22821783;0.87740535;0.49466807524668455;0.8325613980782023;0.30583947481186324;0.48758465011286684;0.8913257;0.6227545;0.97738695;0.23853211
2;0.26582998323084367;0.9031161;0.5257748139780332;0.8689778358136084;0.5042058386937159;0.90879214;0.7373737;0.9902004;0.21683168;0.87802607;0.5177513033717556;0.83889220018836;0.2989412588567411;0.49774774774774777;0.8886002;0.6503497;0.9820531;0.21330275
3;0.2622529823542558;0.90406376;0.5362992016696703;0.8738749044513096;0.5133663366336634;0.91010976;0.7376788;0.98963505;0.22970296;0.8798883;0.5251310433126382;0.8429351870756139;0.29436356399941344;0.5080091533180778;0.89058936;0.66225165;0.98169416;0.2293578
4;0.25612619034773604;0.90506715;0.5457991223112209;0.8811758039928624;0.5148367952522255;0.9115808;0.7369208;0.98894405;0.2440594;0.8795779;0.5331622653456556;0.8471724612577962;0.292928364250432;0.5114678899082569;0.89157414;0.65;0.9798995;0.23853211
5;0.2554387329760433;0.9057361;0.5551214277700701;0.8859069802011296;0.5291790306627102;0.9165105;0.69150174;0.9833532;0.2940594;0.8808194;0.532046535713939;0.8469440090360058;0.2914636152490631;0.5148063781321185;0.8987384;0.6238095;0.9716439;0.30045873
6;0.2560109736438253;0.90640503;0.5629254850281437;0.8876388138217051;0.5353435491843797;0.9189714;0.68042326;0.981029;0.31831682;0.88112974;0.5394706576785678;0.8508828546401733;0.2887187190561987;0.5114155251141552;0.9006336;0.6188341;0.9694903;0.31651375
7;0.2516254219827468;0.9065723;0.5679205319896345;0.8898477689341898;0.5400990099009901;0.91493326;0.72164947;0.9864313;0.27722773;0.88485414;0.5430254155318993;0.8518781654010551;0.2908534604447884;0.517162471395881;0.8978583;0.6737968;0.9781048;0.28899083
8;0.2503286183691954;0.9079659;0.5684472364630841;0.8909013390188821;0.5351485148514852;0.9183673;0.70800453;0.98373014;0.3108911;0.88392305;0.5380701717986388;0.8528314903482023;0.28869977004220215;0.5011441647597255;0.9001327;0.64903843;0.97379756;0.30963302
9;0.24939769272312942;0.9095267;0.576659218331469;0.8914111600870496;0.5405940594059406;0.9183052;0.73325497;0.9857403;0.30891088;0.88640594;0.5421945158336285;0.8521045594947214;0.2866841819782497;0.5067567567567568;0.9017264;0.6666667;0.9748744;0.32110092
10;0.24885471320346988;0.90863484;0.5834026079956733;0.894710085525796;0.5485148514851486;0.9178371;0.7238543;0.9852378;0.3049505;0.88702667;0.5483565491023029;0.8558314179020925;0.28462233635799844;0.504524886877828;0.89993393;0.685567;0.9781048;0.30504587
11;0.24786290335837294;0.90969396;0.5884206493143468;0.8954980629038467;0.5488647581441264;0.9179772;0.73980814;0.9863685;0.30544555;0.88485414;0.5471099982706098;0.858397492047393;0.2824000100692483;0.5068807339449541;0.8986464;0.6683938;0.977028;0.29587156
12;0.24629059112638832;0.9081889;0.5830635928096228;0.8938057393276233;0.5407005426739023;0.91687113;0.727162;0.9859288;0.29554456;0.88268155;0.5407173794661325;0.8547332007349988;0.28648410326830726;0.5167037861915368;0.897885;0.6479592;0.9752333;0.2912844
13;0.24434179612221765;0.9085233;0.5909436363100352;0.8967458712703359;0.5472538347352796;0.9146242;0.7628294;0.9892581;0.27227724;0.8867163;0.5542695988302444;0.8606581399790566;0.2844998607958865;0.5045871559633027;0.8962357;0.71257484;0.982771;0.27293578
14;0.24316567858072938;0.9111433;0.594300602440525;0.8981362796434176;0.550990099009901;0.92219275;0.7186858;0.98278785;0.34653464;0.88485414;0.5466171398007661;0.8574705111402359;0.2832678748510921;0.5034013605442177;0.9029029;0.64444447;0.971285;0.3325688
15;0.24100353838724814;0.911645;0.5994821934944157;0.8970670827997429;0.5554455445544555;0.92163783;0.7311371;0.984107;0.34059405;0.88702667;0.5464652156625966;0.8533056830680269;0.2851228336835411;0.5022935779816514;0.9042056;0.65929204;0.9723618;0.3417431
16;0.24204489478675395;0.9101399;0.6029524239738924;0.9001338459117602;0.5584158415841585;0.9159253;0.77567565;0.9895722;0.2841584;0.887337;0.55327846535217;0.8600777478480214;0.28571415832237307;0.5;0.89786536;0.70621467;0.9813352;0.28669724
17;0.24086791431870114;0.9122582;0.6020339856304536;0.9009662934696008;0.558910891089109;0.9217381;0.7392704;0.98473525;0.3410891;0.8860956;0.558459911198696;0.8567518127992519;0.28232485530892193;0.5137614678899083;0.90249586;0.65898615;0.9734386;0.32798165
18;0.24140635197539348;0.91270417;0.606676116339138;0.9023100548009446;0.55990099009901;0.9219237;0.744086;0.9850493;0.34257427;0.8851645;0.5575815324056833;0.8574400508439972;0.28401956823553304;0.5160550458715596;0.9018629;0.6527778;0.9730797;0.3233945
19;0.23918647390847236;0.91153353;0.6148871060758843;0.9050030973635714;0.5739732805541811;0.91857475;0.7643468;0.9878761;0.309901;0.88702667;0.5581415861399875;0.8622593636597141;0.27981880694757255;0.5206422018348624;0.8988801;0.6935484;0.9795406;0.29587156
