epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.31939818192132374;0.88745195;0.4454595639458069;0.8343016533577472;0.4623762376237624;0.8874456;1.0;1.0;0.0004950495;0.86468035;0.4411364989108807;0.803227309549056;0.3196353847791067;0.45555555555555555;0.86468035;nan;1.0;0.0
1;0.2875846767637853;0.8940855;0.47191302707051436;0.8475263073766388;0.487960687960688;0.8963528;0.7362205;0.9957912;0.09257426;0.8739913;0.47822694689036;0.8190477288144524;0.31408019627494743;0.47415730337078654;0.8761062;0.7586207;0.99497485;0.10091743
2;0.2799181753973132;0.8982106;0.49021008608568084;0.8548030903976132;0.49235323137641834;0.9025421;0.7235023;0.99246186;0.15544555;0.87647426;0.4923200582502928;0.8291235008594743;0.31030471241396457;0.49311926605504586;0.88195777;0.6979167;0.9895908;0.15366973
3;0.2772807983738771;0.891354;0.4999692847730224;0.8592305943641665;0.5031909671084929;0.89114124;0.9382716;0.9996859;0.037623763;0.8705773;0.5094842945508534;0.8329647911905532;0.3048896211911106;0.5011185682326622;0.86980957;1.0;1.0;0.04357798
4;0.2705191045183821;0.8980434;0.49428825174353114;0.8630144313507926;0.5012370113805047;0.91974497;0.582684;0.96972173;0.33316833;0.87461203;0.49872000374627207;0.8336118666728135;0.30304045689857056;0.481651376146789;0.90345526;0.55925924;0.9572864;0.34633029
5;0.27240670295993424;0.89737445;0.5090196821106858;0.8647984630110728;0.5056846267918932;0.89980686;0.7687688;0.995163;0.12673268;0.87802607;0.5142076027505416;0.8378861871612321;0.3013613109334073;0.4977168949771689;0.88117236;0.7590361;0.9928213;0.14449541
6;0.26739488011829843;0.89815485;0.5241397049851052;0.8701627484188208;0.5145967342899554;0.9010701;0.7601078;0.9944092;0.13960396;0.88019866;0.5209430510887194;0.840335359629076;0.2993610038021423;0.5011389521640092;0.88314176;0.7777778;0.9928213;0.16055046
7;0.26714995963277477;0.9006076;0.5211170904252878;0.8720705657788594;0.5111331024245424;0.9154226;0.6281081;0.9783906;0.28762376;0.88175046;0.5146035259859385;0.8388897304346108;0.2980605958412331;0.5;0.9001664;0.6267281;0.97092605;0.3119266
8;0.26509011970771995;0.9023357;0.5281794141843691;0.8755284954338766;0.5133663366336634;0.90890723;0.71753246;0.98906964;0.21881188;0.88112974;0.5238648304230454;0.843213445998011;0.29911129433756506;0.5022935779816514;0.8902241;0.6853147;0.9838478;0.22477064
9;0.2619719112477688;0.9019455;0.5262733273959573;0.8741403261187982;0.5138203356367226;0.914617;0.6512167;0.9810918;0.27821782;0.88392305;0.5227108045536876;0.8449447433761206;0.2937890716789673;0.5022935779816514;0.89986736;0.65048546;0.9741565;0.30733946
10;0.2611067992236823;0.9036736;0.5368866381720042;0.8786782902801871;0.5237623762376238;0.9134666;0.6876607;0.98473525;0.26485148;0.8857852;0.5289140104029496;0.8441074968551803;0.29378380601928517;0.5045871559633027;0.8984839;0.68085104;0.97846377;0.29357797
11;0.25862886355201886;0.90439826;0.5381864453640357;0.8793166394973563;0.5173267326732673;0.9145943;0.68850434;0.98416984;0.27574256;0.8833023;0.5279199154304309;0.8451316214098015;0.2948118792806332;0.5148063781321185;0.89847887;0.6515151;0.9752333;0.29587156
12;0.2622277180335249;0.90478843;0.5420813370591403;0.8806416798159494;0.522962962962963;0.9121281;0.7234957;0.9878761;0.25;0.8857852;0.5321870102024104;0.8469765274603687;0.292389969132762;0.5114678899082569;0.89613366;0.7;0.98169416;0.27293578
13;0.25628282197297;0.90350634;0.535883716303722;0.8811958000247542;0.5198019801980198;0.9197136;0.6393443;0.97650605;0.32821783;0.8792675;0.524975094406407;0.8444162160738159;0.2971303656207043;0.4954128440366973;0.9042159;0.59143966;0.96231157;0.34862384
14;0.2553410132408999;0.9045097;0.543341628787882;0.8820465798699979;0.5294117647058824;0.9249731;0.6253061;0.97116655;0.3792079;0.8808194;0.5335132274954361;0.8485349420760421;0.2918158929117491;0.5102974828375286;0.9085034;0.5921986;0.9587222;0.38302752
15;0.25650532855757924;0.9049557;0.5491502866477691;0.8842005381202734;0.5321146245059288;0.9129096;0.71664375;0.9870595;0.2579208;0.88640594;0.5328152661734353;0.8488914098671602;0.29053558514659855;0.5068807339449541;0.8977646;0.6944444;0.98025846;0.28669724
16;0.25427840270388186;0.9054574;0.5560441909690768;0.8853138008693763;0.5346534653465347;0.92222285;0.6478102;0.97575223;0.35148516;0.8842334;0.533865151186207;0.8466966220354722;0.29275441949020475;0.4988610478359909;0.90718865;0.6216216;0.96482414;0.36926606
17;0.25690426422702844;0.90590334;0.5539904158650983;0.8847679682849873;0.5356435643564357;0.92145944;0.657197;0.9772599;0.34356436;0.8842334;0.5351604251184255;0.848073098124963;0.2963188688006555;0.5011185682326622;0.90581906;0.62650603;0.96661884;0.35779816
18;0.2552379516785421;0.90668374;0.5555862973175321;0.8853041138337089;0.5390702274975272;0.91855204;0.6876356;0.98190844;0.3138614;0.8851645;0.5343786832608171;0.8459869794582348;0.29245869960568843;0.5137614678899083;0.9034736;0.6447368;0.97092605;0.33715597
19;0.25467877558011115;0.90668374;0.5585210001254858;0.8864880157530168;0.5360315893385982;0.9142674;0.7319035;0.9874364;0.27029702;0.8836127;0.5384675174136724;0.8500908869379663;0.2888066746447117;0.5194508009153318;0.89641565;0.6685083;0.97846377;0.27752292
20;0.2510749149229227;0.9077429;0.5651525485377901;0.8885582892104148;0.5425742574257426;0.9199246;0.69109946;0.9814687;0.32673267;0.88919926;0.5417812368963317;0.8509067289264145;0.28758175062474667;0.518348623853211;0.9063232;0.6695279;0.9723618;0.35779816
21;0.2519350554967473;0.9084676;0.5608421682579129;0.886193097606136;0.5331683168316832;0.91929513;0.70678335;0.9831648;0.319802;0.88485414;0.5386563122384864;0.8524544412758419;0.29591176868835495;0.517162471395881;0.9020979;0.6484018;0.9723618;0.32568806
22;0.25380223359848464;0.9086906;0.5626990523293602;0.8877314081995548;0.5400990099009901;0.9249539;0.6681338;0.9763176;0.37574258;0.8867163;0.5396030193794427;0.8511125417388385;0.28960682304655816;0.5101123595505618;0.90853864;0.63706565;0.9662599;0.37844038
23;0.2518357344615904;0.90913653;0.5707703235938477;0.8894732864831177;0.5423057892132608;0.919352;0.7161862;0.9839186;0.319802;0.8867163;0.541361754383033;0.8521226710222147;0.2880997622488523;0.5125858123569794;0.9025607;0.66511625;0.9741565;0.32798165
