epoch;loss;train_kappa;train_mad;train_mape;train_mse;val_kappa;val_loss;val_mad;val_mape;val_mse
0;1.9015961411297322;0.46856597878343176;308.7495634041875;747.1516231849793;219941.72357968698;0.36507302065362646;1.9223988335728646;180.97891571262497;494.5791021152012;73854.6984763501
1;1.7926559407413005;0.4814656258390084;281.7858203674375;613.3885465973375;198783.9906078176;0.390686313766626;1.9227284351587295;140.970230361375;481.93728560735013;50049.91510681074
2;1.785434624761343;0.47420161255923166;280.0973693276875;750.8604249770544;201420.99804710012;0.4241869604695545;1.8963511354327203;125.82958939724999;491.59454364044615;40333.00719084366
3;1.774767234057188;0.46265581146982393;318.45785545306245;734.8628621719098;228839.30708768786;0.42007292670285123;1.904351135969162;177.22528095075;604.2154427534283;69163.94518649965
4;1.7609550312161446;0.47367360014211735;318.51110494812497;581.8628392982149;227410.82972384535;0.40314823165567537;1.888037782430649;184.73300784599996;544.6652973947592;75381.30498875464
5;1.7567563563287258;0.47516798757676126;319.641834848625;663.7630439461233;228840.7959556206;0.4022642418482326;1.875059189081192;188.2699278;476.6878500325052;76875.49623412018
6;1.750350543320179;0.47144721720046645;324.4725428211875;785.0398010413071;234500.18226332782;0.4037278775235916;1.889187577009201;199.680355509;551.5523824732674;83997.74310763845
7;1.7446857270151377;0.47981182295787284;297.1180427315625;626.2489392177506;215897.29973261929;0.4385234312597551;1.871489579677582;151.396234771875;378.9116030854289;53600.089420772485
8;1.7455337601751089;0.470828981238654;320.8294556923124;796.2238686081837;228698.6793965496;0.41225405131616555;1.8845343766212463;193.54559722999994;532.2542306005635;79263.73620688904
9;1.7402726020365953;0.4941453157331067;282.30284786274996;567.7687450760493;198937.09694078637;0.4254842679887413;1.8760993054509163;139.34221956637498;343.0741175728299;47442.76310266003
10;1.7278393497914075;0.47745832855902304;307.229753635375;617.6000246752612;227767.97729282337;0.42301048032682886;1.8665120611190795;154.728847475875;384.02909195942766;56949.76889620366
11;1.7313045686036348;0.4871212918691693;297.049290181;668.2953448177926;211871.17671870018;0.433464843858409;1.868091382443905;152.671578549125;372.3358343552573;55480.13763170198
12;1.727959606334567;0.5022019848641135;277.13203666918747;614.7196785978649;195348.46511003957;0.43603450464484084;1.8637353738546372;129.67355016399998;333.15094783474933;43197.89121041548
13;1.7396603260785342;0.4831733204834776;300.01806382206246;658.4584869193034;212440.13025289492;0.4294444260108975;1.8476098254323006;155.93991176687499;391.2439524284954;57689.559294109284
14;1.7262048538923263;0.49150205821272885;294.0231311406875;641.051847668369;211368.96752892216;0.42767663070854234;1.8637171116471292;145.64725618475;400.5904112072956;51459.6324979105
15;1.722939414963126;0.4777283314667715;317.31504969112495;629.9774921291773;227388.32489687257;0.41134920135521114;1.8578752821087838;186.04302624724997;514.5691203729705;74992.70614532522
16;1.7411761848032474;0.48162401721745196;309.70486322831243;650.7758209559921;220343.34425967556;0.42162163254568163;1.8689836905002595;171.07817798987497;420.2476073343834;67253.84714258816
17;1.728199356302619;0.5086139422169411;281.59049192599997;587.3156164297404;206556.7824990692;0.436599491453328;1.8604874694347382;129.425377307;295.7491069029744;42420.18170059037
18;1.7196022579073906;0.502702244721593;290.12564795562497;711.5275190500626;211240.37218240314;0.4294442030795671;1.852743834912777;147.45450541437498;321.4950017951315;52867.71171871355
19;1.718263669013977;0.49885137301225335;287.555277648;589.175108097933;210589.00400511557;0.4461502719643935;1.8597366921305656;126.2992411175;338.076097272524;40976.8376528896
20;1.6869374934583903;0.5089575969590652;279.47223083031247;662.5659057365754;207599.5600115065;0.43745818237876877;1.8566965088844298;122.72797697012498;307.2898361598477;39038.45301595825
21;1.7242520397603511;0.494304794633168;288.9466344090625;726.5789859665373;201345.2746637141;0.429089321966616;1.8585058578252793;148.96874706337502;384.763633278284;54778.87257597576
22;1.7168670446574688;0.496498475581274;293.7907319559375;539.4311448601954;218919.76648226107;0.42456769315215526;1.8449000414609908;141.263508582;309.85259453592397;49726.419911936406
23;1.7192491900473834;0.49827406480684;299.86234367931246;676.453016467239;218505.58545513623;0.4524338903067907;1.8566190415024757;151.035939820625;336.33607223429755;55893.44167160328
24;1.7065690833628178;0.4981686580812449;297.406661075375;659.8346623050285;217198.2445370124;0.4392190296871952;1.8483902491331101;152.781191299625;434.390318457688;56211.16897249728
25;1.7126594990342856;0.4965647865435271;280.0497589984375;561.0721957553459;199267.1748311607;0.43557551326080124;1.8497638404369354;122.78477427362499;232.8786547457467;40605.11487385596
26;1.7174129250198602;0.4995672676726597;281.22645601606246;478.9950817879849;202841.6334838567;0.43580282828422945;1.8494609378576279;119.61148672362498;266.62107897462766;38106.43172649235
27;1.7193425574600696;0.4975542589244417;289.09596373824996;578.0050075553397;209446.40417560443;0.4419353598404644;1.8549936023950577;142.62802130149998;346.91890359261214;50894.80950213517
28;1.7175371858477593;0.4942927124493537;293.3798747053125;657.1367078517292;219198.22036688114;0.4407609247334625;1.8416765581965446;128.51243542125002;323.5139843231768;43095.68243857439
29;1.7129873390197754;0.4992257685737128;295.81742358781247;644.8981455609002;209560.24302185053;0.44808279300352083;1.8646788487434387;152.679073775;352.69170830824726;56516.28721191009
30;1.7009199852645398;0.5041740237607455;285.8710147535;537.5716728250021;206474.10493092219;0.4505676017031598;1.8359123923778533;133.84697721024997;267.4362741924054;46023.116154426585
