epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.309866392317657;0.89414126;0.46797951187798786;0.8393124319341917;0.47029702970297027;0.89519674;0.80099505;0.9974873;0.07970297;0.871198;0.46024643712323854;0.8102200056639686;0.3173325422903827;0.4703196347031963;0.87315077;0.73333335;0.99569273;0.07568807
1;0.27577126717426564;0.89926976;0.5007956041532527;0.8568960965133513;0.49654491609081935;0.91171664;0.6329588;0.9815315;0.2509901;0.8786468;0.4974012160072056;0.828840714055204;0.3062855665133208;0.4814004376367615;0.8956062;0.61538464;0.9730797;0.27522936
2;0.27075421490720886;0.9007191;0.5040011013653556;0.86163232615114;0.5004950495049505;0.9135853;0.64108616;0.9809033;0.26881188;0.87802607;0.49219455326599765;0.8314327206148698;0.30429117360298563;0.481651376146789;0.8968491;0.6038647;0.9705671;0.28669724
3;0.2661213397022819;0.90166676;0.519464566781583;0.8667169469946555;0.5106382978723404;0.9172316;0.63114756;0.9773855;0.3049505;0.8792675;0.5040115075579;0.8369163971890908;0.30030293144808284;0.4954545454545455;0.9001669;0.6035242;0.9676956;0.3142202
4;0.2622051734048039;0.9033948;0.5290124194298694;0.8713203414065888;0.5200395843641762;0.9138273;0.6795995;0.9839186;0.26881188;0.88392305;0.5093057563968306;0.8372778044877072;0.2987607355113358;0.5137614678899083;0.89749503;0.6648936;0.97738695;0.28669724
5;0.25947372873297997;0.90428674;0.5405205520021712;0.8751600460002027;0.5188118811881188;0.90994114;0.74554294;0.9901376;0.22772278;0.8795779;0.5258095761159748;0.8398973899642379;0.2970294134539895;0.5229357798165137;0.88878083;0.67391306;0.9838478;0.21330275
6;0.2588131859453335;0.90512294;0.5421355163756628;0.8756953208041452;0.5219970341077608;0.91945475;0.66028225;0.97883034;0.32425743;0.8795779;0.5239540138739371;0.8425770727819965;0.29578159023411593;0.5204545454545455;0.9007353;0.6043478;0.96733665;0.31880733
7;0.25627724692683146;0.9056246;0.5432714953202029;0.8777453494454287;0.5168316831683168;0.916452;0.6903376;0.98329043;0.29356435;0.88485414;0.5289587600079333;0.8451818397360327;0.2927810109175931;0.5114678899082569;0.8997021;0.66169155;0.97559226;0.30504587
8;0.25407865714439415;0.9060706;0.554289112964719;0.8821533083014942;0.5299356754082137;0.914068;0.72303593;0.9869338;0.26881188;0.88112974;0.5338346513198589;0.8474663619539373;0.2916620260417868;0.5114678899082569;0.89458126;0.6497175;0.9777459;0.26376146
9;0.25410997321681444;0.9072412;0.5558708336147751;0.8799289752142498;0.5311881188118812;0.9162044;0.7186732;0.98561466;0.28960395;0.8845438;0.5226536164609867;0.8404835448540211;0.29450195946358954;0.5055679287305123;0.8988764;0.6632653;0.97631013;0.29816514
10;0.250930696518181;0.9071297;0.5607772355592986;0.8846335626087264;0.5272277227722773;0.91459656;0.736;0.98756206;0.27326733;0.88268155;0.5294155301785441;0.8455798817152606;0.29238944238920084;0.5137614678899083;0.89657444;0.65591395;0.977028;0.2798165
11;0.24780015719958878;0.90188974;0.5618999037647572;0.8871893229275185;0.5381188118811882;0.9034593;0.8316327;0.995854;0.16138613;0.8798883;0.5235794695446475;0.8461487483287999;0.3184478291068145;0.4935897435897436;0.8828599;0.7752809;0.9928213;0.15825687
12;0.24772815326537845;0.9074642;0.5726312745758084;0.8900763394387055;0.5447798119742702;0.9133762;0.7601156;0.9895722;0.26039603;0.8860956;0.534033417798899;0.850141105264198;0.2909424294972553;0.5011389521640092;0.8951323;0.71428573;0.98348886;0.26376146
13;0.24687212321085347;0.9081331;0.57517428889285;0.8921433631521956;0.5457694210786739;0.9146377;0.75479454;0.9887556;0.27277228;0.88268155;0.5289620748427332;0.8483044317261272;0.3011721741410422;0.49783549783549785;0.8955322;0.66292137;0.97846377;0.2706422
14;0.24514073112201207;0.90701824;0.5793743842527911;0.8922786706712635;0.5391089108910891;0.9110944;0.79042906;0.9920221;0.23712872;0.8857852;0.5361384845735478;0.850667986064003;0.29168120560754834;0.5091743119266054;0.8932986;0.7297297;0.9856425;0.24770643
15;0.24460995824193202;0.9097497;0.580338419284341;0.8913693643376523;0.5437902028698665;0.9184713;0.73505276;0.9858031;0.31039605;0.8833023;0.5295592359445255;0.8500266733404901;0.29209173225620233;0.4954545454545455;0.9000664;0.64285713;0.9730797;0.30963302
