epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.07631841538700973;0.98825;0.09377955303277614;0.8776890094245684;0.14893617021276595;0.98825;nan;1.0;0.0;0.97775;0.10992370052585318;0.7783495269751981;0.10255486106011086;0.18357487922705315;0.97775;nan;1.0;0.0
1;0.05597046951531957;0.9873125;0.14237035438775145;0.8962320899615847;0.22167487684729065;0.9873125;nan;1.0;0.0;0.97775;0.1558731792587915;0.8099066591204871;0.08179874055134133;0.1693121693121693;0.97775;nan;1.0;0.0
2;0.05065443525169394;0.98775;0.22372831738596283;0.8997907724213453;0.24;0.98775;nan;1.0;0.0;0.977;0.17974585180982583;0.8326777429798407;0.09813234069664031;0.25;0.977;nan;1.0;0.0
3;0.052689203002228166;0.988125;0.22390412044511954;0.9132000066580113;0.26842105263157895;0.988125;nan;1.0;0.0;0.978375;0.20629031333311357;0.8406412957666178;0.07796082343906165;0.26136363636363635;0.978375;nan;1.0;0.0
4;0.047299120971161755;0.987625;0.22753420915547495;0.9055922789469176;0.29292929292929293;0.987625;nan;1.0;0.0;0.976125;0.21072278514941845;0.8251299514119499;0.09088252494554036;0.25906735751295334;0.976125;nan;1.0;0.0
5;0.04604073962829716;0.9879375;0.22407561478713933;0.9195267001469475;0.25906735751295334;0.9879375;nan;1.0;0.0;0.980375;0.21791832975749004;0.8462107879881529;0.09202457016159314;0.22641509433962265;0.980375;nan;1.0;0.0
6;0.051768870783911555;0.9871875;0.2019563120649324;0.8939937769748068;0.2560386473429952;0.9871875;nan;1.0;0.0;0.978;0.27113167991041764;0.8673777653839002;0.0843504593479447;0.32386363636363635;0.978;nan;1.0;0.0
7;0.05146430857597443;0.985875;0.2043693543712836;0.9151022574394293;0.26548672566371684;0.985875;nan;1.0;0.0;0.977125;0.2730689195981444;0.8713305944519127;0.0872544947641436;0.3387096774193548;0.977125;nan;1.0;0.0
8;0.048406891325568725;0.98675;0.25927948913772775;0.918493446180763;0.3113207547169811;0.98675;nan;1.0;0.0;0.974875;0.2573609684819646;0.8320661087433712;0.09085356112965383;0.29850746268656714;0.974875;nan;1.0;0.0
9;0.05388147597470379;0.9880625;0.24680833692138324;0.9174143298982387;0.28272251308900526;0.9880625;nan;1.0;0.0;0.975125;0.22710964534947153;0.8538806711418908;0.07667378411069513;0.2914572864321608;0.975125;nan;1.0;0.0
10;0.049134402287993;0.987875;0.2206835251859629;0.9159587707134573;0.2893401015228426;0.987875;nan;1.0;0.0;0.97575;0.23628526388059892;0.8471275730273566;0.09350488400063478;0.26804123711340205;0.97575;nan;1.0;0.0
11;0.04460312723659081;0.987;0.2637774927013;0.9162476071136311;0.3125;0.987;nan;1.0;0.0;0.976375;0.256956973728409;0.8684039399056682;0.08018524462904315;0.3439153439153439;0.976375;nan;1.0;0.0
12;0.05164803058670077;0.988;0.22069630632732196;0.8923239354019061;0.29533678756476683;0.988;nan;1.0;0.0;0.980625;0.23427271717174225;0.8505906782622997;0.08743332228914369;0.2903225806451613;0.980625;nan;1.0;0.0
